Date,Open,High,Low,Close,Vol
7/5/2013,48566000,48806000,48999000,48522000,38320
7/8/2013,48277000,48524000,48595000,48058000,40650
7/9/2013,48550000,48396000,48550000,48114000,29840
7/10/2013,48443000,48781000,48983000,48443000,32640
7/11/2013,48447000,48438000,48544000,48211000,35040
7/12/2013,49399000,48514000,49399000,48513000,51910
7/15/2013,49410000,49612000,49832000,49295000,43480
7/16/2013,49622000,49466000,49783000,49374000,42320
7/17/2013,49750000,49638000,49842000,49337000,42120
7/18/2013,49684000,49568000,50051000,49423000,53150
7/19/2013,50376000,49964000,50538000,49928000,48110
7/22/2013,50616000,50511000,50771000,50163000,54390
7/23/2013,50429000,50616000,50864000,50422000,53030
7/24/2013,49418000,50367000,50427000,49336000,60420
7/25/2013,49178000,49375000,49585000,49171000,42250
7/26/2013,49393000,49350000,49516000,48792000,43410
7/29/2013,48569000,49381000,49436000,48556000,32830
7/30/2013,48854000,48578000,49036000,48574000,30660
7/31/2013,49185000,48810000,49310000,48710000,41620
8/1/2013,49243000,49090000,49431000,48957000,31500
8/2/2013,49466000,49333000,49571000,49302000,26270
8/5/2013,49366000,49438000,49674000,49275000,29580
8/6/2013,49656000,49269000,49656000,49191000,34420
8/7/2013,50010000,49695000,50226000,49502000,40450
8/8/2013,49822000,49953000,50351000,49705000,28330
8/9/2013,50062000,49888000,50204000,49888000,28100
8/12/2013,49946000,50135000,50139000,49753000,31950
8/13/2013,49773000,49946000,50263000,49740000,36520
8/14/2013,50357000,49851000,50389000,49635000,35780
8/15/2013,50822000,50503000,50960000,50503000,63490
8/16/2013,50779000,50822000,51022000,50548000,60580
8/19/2013,51102000,50727000,51334000,50716000,61780
8/20/2013,50481000,50959000,51059000,50411000,65900
8/21/2013,50270000,50477000,50478000,49701000,53820
8/22/2013,49612000,49982000,50392000,49440000,53030
8/23/2013,48682000,49612000,49789000,48278000,54170
8/26/2013,49054000,48526000,49054000,47859000,43030
8/27/2013,48557000,48823000,48989000,48557000,27830
8/28/2013,47330000,48248000,48248000,47029000,69270
8/29/2013,46855000,47333000,47709000,46855000,39840
8/30/2013,47270000,46964000,47270000,46213000,35500
9/3/2013,47217000,47356000,47708000,47026000,29190
9/4/2013,47145000,47277000,47642000,46930000,69280
9/5/2013,47757000,47362000,47777000,47072000,47480
9/6/2013,48003000,47918000,48055000,47516000,46820
9/9/2013,47016000,47898000,47898000,46939000,54930
9/10/2013,47453000,47016000,47562000,47016000,28760
9/11/2013,47640000,47453000,47895000,47368000,33570
9/12/2013,47559000,47497000,47725000,47491000,32570
9/13/2013,47642000,47511000,47800000,47454000,29070
9/16/2013,47557000,47832000,47870000,47397000,38470
