TradingDate;Open;High;Low;Close;Volume
2021-08-11;136243000;137403000;135779000;135779000;80677000
2021-08-12;135779000;136501000;135305000;135305000;74156000
2021-08-13;135305000;135741000;133674000;135705000;74415000
2021-08-16;135705000;137233000;135705000;137096000;82771000
2021-08-17;137096000;137970000;135911000;136309000;76861000
2021-08-18;136309000;137050000;135583000;136094000;68978000
2021-08-19;136094000;137485000;135294000;137485000;72817000
2021-08-20;137485000;137485000;131752000;132943000;121000000
2021-08-23;132943000;132943000;129886000;129886000;79507000
2021-08-24;129886000;130756000;128916000;129874000;71427000
2021-08-25;129874000;131016000;129170000;130955000;52287000
2021-08-26;130955000;131626000;129577000;130112000;52429000
2021-08-27;130112000;131320000;128516000;131320000;68506000
2021-08-30;131320000;132962000;131320000;132814000;67654000
2021-08-31;132814000;133614000;132569000;133147000;73383000
2021-09-01;133147000;133802000;132813000;133465000;71996000
2021-09-06;133465000;134836000;133465000;134639000;94441000
2021-09-07;134639000;135366000;134032000;134190000;86938000
2021-09-08;134190000;134449000;132835000;133361000;62608000
2021-09-09;133361000;134559000;133267000;134398000;64257000
2021-09-10;134398000;135043000;134398000;134531000;59873000
2021-09-13;134531000;135069000;134050000;134143000;77547000
2021-09-14;134143000;134913000;133684000;133970000;73045000
2021-09-15;133970000;134770000;133497000;134583000;69209000
2021-09-16;134583000;135312000;134123000;134587000;59977000
2021-09-17;134587000;135645000;134587000;135264000;85278000
2021-09-20;135264000;136592000;134918000;135048000;89546000
2021-09-21;135048000;135048000;132482000;133984000;85968000
2021-09-22;133984000;135071000;133663000;135068000;77965000
2021-09-23;135068000;136109000;135043000;135276000;99761000
2021-09-24;135276000;135697000;134807000;135117000;67310000
2021-09-27;135117000;135438000;132499000;132499000;77844000
2021-09-28;132499000;134181000;131641000;133931000;62351000
2021-09-29;133931000;134090000;132817000;133921000;59850000
2021-09-30;133921000;134889000;133921000;134206000;43829000
2021-10-01;134206000;134406000;133297000;133489000;73817000
2021-10-04;133489000;134749000;133353000;133954000;73608000
2021-10-05;133954000;135463000;133954000;135463000;63627000
2021-10-06;135463000;136282000;135463000;136282000;63700000
2021-10-07;136282000;136764000;136057000;136599000;69303000
2021-10-08;136599000;137318000;136593000;137273000;63286000
2021-10-11;137273000;139464000;137273000;139409000;76435000
2021-10-12;139409000;140078000;138943000;139480000;74281000
2021-10-13;139480000;140067000;138961000;139191000;64535000
2021-10-14;139191000;139867000;138889000;139185000;72551000
2021-10-15;139185000;139903000;138800000;139270000;78456000
2021-10-18;139270000;140263000;139088000;139553000;79592000
2021-10-19;139553000;139966000;138895000;139533000;63944000
2021-10-20;139533000;140176000;137615000;139380000;84589000
2021-10-21;139380000;139845000;138477000;138477000;70907000
2021-10-22;138477000;139370000;138477000;138924000;79813000
2021-10-25;138924000;139572000;138540000;138540000;89926000
2021-10-26;138540000;139303000;137756000;139163000;74795000
2021-10-27;139163000;142302000;139163000;142302000;93622000
2021-10-28;142302000;144064000;142042000;143801000;86543000
2021-10-29;143801000;144762000;143219000;144427000;98201000
2021-11-01;144427000;145181000;143557000;143897000;113000000
2021-11-02;143897000;145246000;143883000;145246000;101000000
2021-11-03;145246000;146363000;144067000;144430000;151000000
2021-11-04;144430000;145198000;143584000;144834000;92953000
2021-11-05;144834000;145993000;144451000;145651000;87407000
2021-11-08;145651000;147049000;145651000;146757000;108000000
2021-11-09;146757000;147420000;145757000;146150000;103000000
2021-11-10;146150000;147019000;145798000;146502000;98554000
2021-11-11;146502000;147289000;144918000;146235000;127000000
2021-11-12;146235000;147498000;145322000;147337000;95563000
2021-11-15;147337000;148196000;146601000;147657000;117000000
2021-11-16;147657000;147697000;145908000;146645000;122000000
2021-11-17;146645000;147704000;146478000;147585000;86080000
2021-11-18;147585000;148287000;146983000;146983000;109000000
2021-11-19;146983000;148153000;143469000;145235000;152000000
2021-11-22;145235000;146646000;144285000;144725000;127000000
2021-11-23;144725000;146363000;143841000;146363000;88007000
2021-11-24;146363000;149105000;146363000;148887000;112000000
2021-11-25;148887000;150536000;148887000;150081000;101000000
2021-11-26;150081000;151168000;148883000;149303000;106000000
2021-11-29;149303000;149303000;146483000;148484000;101000000
2021-11-30;148484000;150309000;147157000;147844000;108000000
2021-12-01;147844000;148768000;147130000;148519000;87673000
2021-12-02;148519000;149384000;148205000;148205000;76396000
2021-12-03;148205000;149120000;144332000;144332000;110000000
2021-12-06;144332000;145255000;140087000;141358000;104000000
2021-12-07;141358000;144677000;141358000;144677000;75591000
2021-12-08;144677000;146028000;144677000;145287000;77103000
2021-12-09;145287000;146798000;144688000;146798000;66546000
2021-12-10;146798000;147585000;146178000;146354000;79829000
2021-12-13;146354000;148170000;146354000;147621000;86558000
2021-12-14;147621000;148514000;146921000;147602000;96411000
2021-12-15;147602000;148167000;146821000;147550000;90608000
2021-12-16;147550000;148232000;146895000;147661000;92754000
2021-12-17;147661000;148773000;147661000;147979000;111000000
2021-12-20;147979000;148385000;146888000;147733000;96335000
2021-12-21;147733000;148609000;147243000;147874000;90284000
2021-12-22;147874000;148924000;147184000;147767000;107000000
2021-12-23;147767000;148121000;144714000;145696000;136000000
2021-12-24;145696000;147880000;145632000;147703000;88948000
2021-12-27;147703000;149012000;146991000;148888000;75211000
2021-12-28;148888000;149977000;148397000;149439000;100000000
2021-12-29;149439000;149891000;148582000;148582000;84388000
2021-12-30;149096000;149338000;148482000;148597000;74786000
2021-12-31;148597000;149907000;148597000;149828000;87573000
2022-01-04;150855000;152669000;150719000;152558000;89130000
2022-01-05;152558000;153582000;152250000;152250000;106000000
2022-01-06;152250000;153624000;151818000;152857000;113000000
2022-01-07;153410000;153452000;152496000;152848000;103000000
2022-01-10;152848000;153645000;150371000;150371000;138000000
2022-01-11;150371000;151205000;148840000;149231000;125000000
2022-01-12;148911000;151051000;146449000;151051000;113000000
2022-01-13;151051000;152260000;149513000;149605000;99582000
2022-01-14;149605000;150325000;147668000;149602000;78561000
2022-01-17;149602000;150386000;145284000;145284000;98710000
2022-01-18;145284000;145284000;142465000;143894000;73929000
2022-01-19;143894000;144911000;143446000;144279000;63763000
2022-01-20;144279000;146908000;143258000;146530000;78576000
2022-01-21;146530000;147723000;146306000;147289000;81135000
2022-01-24;147289000;147289000;143218000;143971000;82813000
2022-01-25;143971000;147958000;142436000;147958000;75139000
2022-01-26;147958000;149045000;147841000;148158000;81318000
2022-01-27;148158000;148639000;146406000;147076000;56460000
2022-01-28;147076000;148448000;146522000;147896000;70268000
2022-02-07;147896000;150569000;147896000;149766000;57817000
2022-02-08;149766000;150333000;149178000;150099000;73476000
2022-02-09;150099000;151172000;149953000;150538000;79474000
2022-02-10;151066000;151288000;149570000;150679000;68025000
2022-02-11;150679000;150854000;149906000;150171000;63628000
2022-02-14;150171000;150171000;147196000;147196000;81072000
2022-02-15;147196000;149556000;147006000;149275000;60642000
2022-02-16;149275000;149950000;148668000;149210000;70252000
2022-02-17;149210000;150799000;149210000;150799000;61579000
2022-02-18;150799000;150799000;149238000;150484000;69755000
2022-02-21;150484000;151663000;150097000;151084000;79192000
2022-02-22;151084000;151084000;148481000;150347000;90805000
2022-02-23;150347000;152078000;150347000;151230000;69465000
2022-02-24;151230000;151325000;147376000;149485000;116000000
2022-02-25;149485000;151205000;149485000;149889000;76801000
2022-02-28;149889000;150236000;148757000;149013000;72979000
2022-03-01;149013000;150173000;149013000;149878000;84243000
2022-03-02;149937000;150041000;147955000;148552000;94155000
2022-03-03;148552000;150500000;148552000;150500000;92921000
2022-03-04;150500000;150919000;150139000;150533000;92892000
2022-03-07;150533000;150533000;149387000;149905000;98172000
2022-03-08;149905000;149905000;147371000;147371000;104000000
2022-03-09;147371000;148286000;146280000;147374000;93030000
2022-03-10;147374000;148859000;147374000;147908000;64994000
2022-03-11;147908000;148029000;145888000;146654000;87819000
2022-03-14;146654000;146654000;143919000;144625000;85857000
2022-03-15;144625000;145307000;143727000;145274000;67563000
2022-03-16;145274000;146298000;145274000;145933000;62422000
2022-03-17;145933000;146774000;145914000;146134000;71744000
2022-03-18;146134000;147486000;146134000;146910000;79573000
2022-03-21;147478000;149495000;147438000;149495000;79216000
2022-03-22;149495000;150771000;149495000;150378000;94770000
2022-03-23;150378000;151390000;150167000;150234000;86113000
2022-03-24;150234000;150539000;149518000;149826000;78491000
2022-03-25;150017000;150329000;149455000;149850000;76894000
2022-03-28;149850000;149850000;147380000;148318000;107000000
2022-03-29;148318000;149845000;148318000;149776000;73794000
2022-03-30;149776000;150389000;148390000;149051000;90149000
2022-03-31;149051000;149841000;148827000;149215000;68454000
2022-04-01;149215000;151687000;148413000;151644000;96767000
2022-04-04;151644000;153095000;151644000;152470000;77958000
2022-04-05;152470000;152757000;151928000;152003000;70353000
2022-04-06;152003000;152375000;150762000;152290000;94404000
2022-04-07;152290000;152492000;150235000;150235000;79513000
2022-04-08;150235000;150773000;148200000;148200000;76356000
2022-04-12;148200000;149058000;145525000;145525000;68006000
2022-04-13;145525000;147720000;144852000;147720000;67479000
2022-04-14;147720000;148434000;147175000;147212000;52337000
2022-04-15;147212000;147895000;145639000;145856000;65947000
2022-04-18;145856000;145856000;142507000;143260000;82769000
2022-04-19;143260000;144204000;140645000;140645000;70235000
