Date;Open;High;Low;Close;Vol
2013-07-25;49178000;49375000;49585000;49171000;42250
2013-07-26;49393000;49350000;49516000;48792000;43410
2013-07-29;48569000;49381000;49436000;48556000;32830
2013-07-30;48854000;48578000;49036000;48574000;30660
2013-07-31;49185000;48810000;49310000;48710000;41620
2013-08-01;49243000;49090000;49431000;48957000;31500
2013-08-02;49466000;49333000;49571000;49302000;26270
2013-08-05;49366000;49438000;49674000;49275000;29580
2013-08-06;49656000;49269000;49656000;49191000;34420
2013-08-07;50010000;49695000;50226000;49502000;40450
2013-08-08;49822000;49953000;50351000;49705000;28330
2013-08-09;50062000;49888000;50204000;49888000;28100
2013-08-12;49946000;50135000;50139000;49753000;31950
2013-08-13;49773000;49946000;50263000;49740000;36520
2013-08-14;50357000;49851000;50389000;49635000;35780
2013-08-15;50822000;50503000;50960000;50503000;63490
2013-08-16;50779000;50822000;51022000;50548000;60580
2013-08-19;51102000;50727000;51334000;50716000;61780
2013-08-20;50481000;50959000;51059000;50411000;65900
2013-08-21;50270000;50477000;50478000;49701000;53820
2013-08-22;49612000;49982000;50392000;49440000;53030
2013-08-23;48682000;49612000;49789000;48278000;54170
2013-08-26;49054000;48526000;49054000;47859000;43030
2013-08-27;48557000;48823000;48989000;48557000;27830
2013-08-28;47330000;48248000;48248000;47029000;69270
2013-08-29;46855000;47333000;47709000;46855000;39840
2013-08-30;47270000;46964000;47270000;46213000;35500
2013-09-03;47217000;47356000;47708000;47026000;29190
2013-09-04;47145000;47277000;47642000;46930000;69280
2013-09-05;47757000;47362000;47777000;47072000;47480
2013-09-06;48003000;47918000;48055000;47516000;46820
2013-09-09;47016000;47898000;47898000;46939000;54930
2013-09-10;47453000;47016000;47562000;47016000;28760
2013-09-11;47640000;47453000;47895000;47368000;33570
2013-09-12;47559000;47497000;47725000;47491000;32570
2013-09-13;47642000;47511000;47800000;47454000;29070
2013-09-16;47557000;47832000;47870000;47397000;38470
