Date;Open;High;Low;Price;Vol.
7/24/2018;933.22;939.07;926.3;934.08;203.90K
7/25/2018;936.57;938.33;927.58;927.58;232.72K
7/26/2018;928.96;930.32;920.99;930.16;195.48K
7/27/2018;931.9;937.23;928.82;935.52;179.26K
7/30/2018;940.76;949.73;937.69;949.73;193.34K
7/31/2018;948.56;959.07;947.32;956.39;242.40K
2018-01-08;957.35;960.05;949.89;952.77;202.12K
2018-02-08;952.75;953.55;942.39;953.55;212.46K
2018-03-08;957.92;966.1;955.13;959.6;197.53K
2018-06-08;960.12;962.99;955.42;960.23;229.66K
2018-07-08;957.7;962.02;953.71;956.79;162.14K
2018-08-08;958.31;966.27;958.31;966.27;155.17K
2018-09-08;968.57;972.52;963.5;963.5;167.64K
2018-10-08;962.03;968.47;955.04;968.47;185.25K
8/13/2018;966.46;978.04;963.41;978.04;213.22K
8/14/2018;979.66;981.42;974.47;978.27;177.30K
8/15/2018;980.45;982;961.37;961.37;188.94K
8/16/2018;952.83;964.28;947.09;964.28;174.03K
8/17/2018;971.4;975.52;968.88;968.88;151.07K
8/20/2018;970.81;973.57;966.46;969.62;180.83K
8/21/2018;968.46;979.21;968.45;979.21;200.58K
8/22/2018;979.21;986.36;979.21;982.15;204.11K
8/23/2018;984.12;989.45;982.48;987.36;146.85K
8/24/2018;985.49;989.21;982.88;987.05;180.07K
8/27/2018;990.19;994.54;990.03;991.92;189.51K
8/28/2018;991.92;995.29;989.81;995.19;176.27K
8/29/2018;995.05;995.05;987.47;988.17;176.89K
8/30/2018;987.62;998.07;983.43;998.07;186.70K
8/31/2018;998.55;1,003.06;989.54;989.54;186.55K
2018-04-09;990.79;992.18;975.94;975.94;185.94K
2018-05-09;975.05;978.78;964.8;968.44;181.15K
2018-06-09;968.37;970.84;957.99;958.19;160.38K
2018-07-09;955.5;969.34;955.5;968.9;169.77K
2018-10-09;969.74;974.59;968.19;970.34;190.67K
2018-11-09;968.41;985.06;967.92;985.06;192.82K
2018-12-09;990;994.83;987.01;987.01;184.15K
9/13/2018;987.48;992.96;984.92;987.95;172.90K
